1  -83.000000 0.000000
3 16  17 -34.649052 -Inf
3 16  18 -44.264267 -Inf
3 16  19 -56.773663 -Inf
3 16  20 -48.118010 -Inf
3 17  18 -41.592370 -Inf
3 17  19 -39.934166 -Inf
3 17  20 -35.500192 -Inf
3 18  19 -59.192831 -Inf
3 18  20 -49.925876 -Inf
3 19  20 -52.255554 -Inf
4  -83.000000 0.000000
4 1 -69.101780 -Inf
4 2 -50.497748 -674.742755
4 3 -66.433123 -Inf
4 5 -56.729401 -536.975063
4 6 -57.637086 -Inf
4 7 -53.278861 -Inf
4 8 -69.467703 -Inf
4 9 -78.490281 -Inf
4 10 -64.111846 -Inf
4 11 -34.058102 -0.040560
4 12 -52.086505 -Inf
4 13 -73.809571 -Inf
4 14 -63.340153 -Inf
4 15 -71.974625 -703.492046
4 16 -72.595034 -Inf
4 17 -43.358239 -Inf
4 18 -77.830231 -Inf
4 19 -74.409949 -Inf
4 20 -69.305513 -Inf
4 1  2 -45.870919 -Inf
4 1  3 -59.366585 -Inf
4 1  5 -50.210903 -Inf
4 1  6 -48.911851 -Inf
4 1  7 -45.807055 -Inf
4 1  8 -56.023489 -Inf
4 1  9 -59.490727 -Inf
4 1  10 -58.093565 -Inf
4 1  11 -29.080559 -Inf
4 1  12 -46.605063 -Inf
4 1  13 -57.891840 -Inf
4 1  14 -54.692630 -Inf
4 1  15 -57.865471 -Inf
4 1  16 -57.947005 -Inf
4 1  17 -37.309905 -Inf
4 1  18 -57.133849 -Inf
4 1  19 -61.876538 -Inf
4 1  20 -55.451220 -Inf
4 2  3 -46.451758 -Inf
4 2  5 -41.500504 -1211.717818
4 2  6 -43.107979 -Inf
4 2  7 -43.977854 -Inf
4 2  8 -46.871529 -Inf
4 2  9 -42.966610 -Inf
4 2  10 -43.572783 -Inf
4 2  11 -27.789263 -674.783314
4 2  12 -44.247902 -Inf
4 2  13 -47.672809 -Inf
4 2  14 -48.081317 -Inf
4 2  15 -46.352993 -1378.234801
4 2  16 -46.018445 -Inf
4 2  17 -38.892456 -Inf
4 2  18 -47.385308 -Inf
4 2  19 -48.476043 -Inf
4 2  20 -46.916628 -Inf
4 3  5 -44.393899 -Inf
4 3  6 -51.198212 -Inf
4 3  7 -49.831417 -Inf
4 3  8 -54.744264 -Inf
4 3  9 -61.707634 -Inf
4 3  10 -60.637649 -Inf
4 3  11 -26.775794 -Inf
4 3  12 -46.717495 -Inf
4 3  13 -59.679616 -Inf
4 3  14 -54.427896 -Inf
4 3  15 -55.454968 -Inf
4 3  16 -58.534747 -Inf
4 3  17 -37.212797 -Inf
4 3  18 -55.230200 -Inf
4 3  19 -61.618121 -Inf
4 3  20 -59.374225 -Inf
4 5  6 -38.738277 -Inf
4 5  7 -45.127466 -Inf
4 5  8 -49.696945 -Inf
4 5  9 -49.363591 -Inf
4 5  10 -48.190161 -Inf
4 5  11 -28.974148 -537.015623
4 5  12 -40.364953 -Inf
4 5  13 -49.217590 -Inf
4 5  14 -48.262614 -Inf
4 5  15 -46.380674 -1240.467109
4 5  16 -53.194667 -Inf
4 5  17 -32.594634 -Inf
4 5  18 -45.575567 -Inf
4 5  19 -50.418364 -Inf
4 5  20 -50.781899 -Inf
4 6  7 -42.757572 -Inf
4 6  8 -48.143198 -Inf
4 6  9 -53.393193 -Inf
4 6  10 -52.948008 -Inf
4 6  11 -29.356911 -Inf
4 6  12 -44.248870 -Inf
4 6  13 -53.150281 -Inf
4 6  14 -43.352173 -Inf
4 6  15 -51.953139 -Inf
4 6  16 -52.797328 -Inf
4 6  17 -38.958927 -Inf
